Passenger Count;Trip Distance (in miles);Fare Amount;Surcharge;Tip Amount;Total Amount;Generous ? 
1;3,7;19;0,5;0;20,3;No
1;0,53;5,5;0,5;0;6,8;No
1;1,9;10,2;0,5;0;11,5;No
1;2,6;12;0,5;2,65;15,95;Yes
6;4,73;17;0,5;0;18,3;No
1;0,8;6;0,5;0;7,3;No
1;4,24;15;0,5;0;16,3;No
1;2,59;11,5;0,5;2,4;15,2;Yes
1;4,14;17,5;0,5;2;20,8;Yes
2;0,9;6,2;0,5;1;8,5;Yes
2;1,2;7,5;0,5;1;9,8;Yes
2;8,8;27,5;0,5;0;28,8;No
5;9,78;31,5;0,5;6,4;39,2;Yes
2;0,75;4;0,5;2;7,3;Yes
1;0,8;5;0,5;1;7,3;Yes
1;0,87;5;0,5;0;6,3;No
1;1,38;10;0,5;0;11,3;No
1;7,2;22;0,5;0;23,3;No
1;4,5;18;0,5;0;19,3;No
1;0,8;4,7;0,5;1,2;7,2;Yes
1;0,9;5,2;0,5;1,62;8,12;Yes
5;0,51;5,5;0,5;1,2;8;Yes
1;7,9;24;0,5;3;28,3;Yes
1;1;5,5;0,5;1,35;8,15;Yes
1;5,93;22;0,5;4,5;27,8;Yes
1;0,85;5;0,5;0;6,3;No
1;0,3;4;0,5;0;5,3;No
1;3,1;11;0,5;3,05;15,35;Yes
2;1,35;8;0,5;0;9,3;No
5;3,1;16,5;0,5;0;17,8;No
1;6,57;24;0,5;0;25,3;No
2;2,1;12,5;0,5;2,75;16,55;Yes
1;0,1;2,5;0,5;0;3,8;No
1;0,67;5;0,5;0;6,3;No
2;2,28;11,5;0,5;0;12,8;No
1;19,5;52;0;10;68,13;Yes
6;20,11;57;0,5;0;63,63;No
2;0,7;4,5;0,5;0;5,8;No
2;1,6;6,7;0,5;1,6;9,6;Yes
1;3,2;12,5;0,5;3,9;17,7;Yes
1;4,83;16,5;0,5;0;17,8;No
5;2,56;13;0,5;0;14,3;No
1;5,1;21,5;0,5;0;22,8;No
2;0,95;5,5;0,5;0;6,8;No
6;1,43;9;0,5;0;10,3;No
2;4,68;15,5;0,5;2;18,8;Yes
2;8,8;26;0,5;7,95;35,25;Yes
1;1,25;7;0,5;1,5;9,8;Yes
2;2,2;9,2;0,5;2,1;12,6;Yes
1;10,5;35,5;0,5;0;36,8;No
2;0,3;4,5;0,5;1,16;6,96;Yes
5;3,49;14;0,5;0;15,3;No
1;4,73;17;0,5;4,38;22,68;Yes
1;6,1;21;0,5;4,45;26,75;Yes
2;3,6;13;0,5;0;14,3;No
1;2,2;12;0,5;3,95;17,25;Yes
5;6,28;21,5;0,5;0;22,8;No
1;1,03;5;0,5;1,1;7,4;Yes
2;1;5,5;0,5;0;6,8;No
3;0,8;5,5;0,5;0;6,8;No
3;4;17;0,5;0;18,3;No
1;2,54;12,5;0,5;2,6;16,4;Yes
1;1,67;10;0,5;0;11,3;No
3;6,35;20,5;0,5;4,2;26;Yes
5;8,92;27,5;0,5;5,6;34,4;Yes
2;12,53;41,5;0,5;0;42,8;No
1;2,4;9,5;0,5;1,5;12,3;Yes
1;1,4;7,5;0,5;1,6;10,4;Yes
2;2,22;10;0,5;0;11,3;No
1;4,31;16;0,5;4,12;21,42;Yes
3;4;17,5;0,5;0;18,8;No
1;13,88;47,5;0,5;0;48,8;No
1;0;2,5;0,5;0;3,8;No
1;1,07;6;0,5;1,3;8,6;Yes
1;1,9;9;0,5;0;10,3;No
1;8,98;25;0,5;0;31,63;No
1;7,6;24;0,5;0;25,3;No
1;2,37;16,5;0,5;0;17,8;No
3;0,95;8,5;0,5;0;9,8;No
4;2,13;12;0,5;0;13,3;No
1;4,94;17;0,5;0;18,3;No
2;11,44;37;0,5;7,5;45,8;Yes
1;0,31;4;0,5;0;5,3;No
3;0,9;6,5;0,5;0;7,8;No
1;2,6;11,5;0,5;2,55;15,35;Yes
1;4,36;17;0,5;0;18,3;No
1;3,2;11;0,5;1;13,3;Yes
1;5,3;18,5;0,5;0;19,8;No
1;0,77;4,5;0,5;1;6,8;Yes
1;6,3;20,7;0,5;0,11;22,11;Yes
2;8,2;28,5;0,5;5,95;35,75;Yes
4;12,4;41;0,5;0;42,3;No
1;0,8;4,5;0,5;0;5,8;No
1;0,87;5;0,5;0;6,3;No
1;0,6;4,5;0,5;0;5,8;No
1;7,8;26,5;0,5;2,2;30;Yes
1;11,9;35,5;0,5;0;36,8;No
1;0,9;7;0,5;0;8,3;No
1;1,5;7,5;0,5;0;8,8;No
1;2,67;12;0,5;0;13,3;No
2;2,7;11,5;0,5;2,4;15,2;Yes
5;1,29;14,5;0,5;0;15,8;No
1;4,4;21,5;0,5;0;22,8;No
